ESP8266EX,U,,,,
Pin,Name,Type,Side,Unit,Style
1,VDDA,pwr,left,1,
2,LNA,passive,left,1,
3,VDD3P3,pwr,left,1,
4,VDD3P3,pwr,left,1,
5,VDD_RTC,nc,left,1,
6,TOUT,in,left,1,
7,CHIP_PU,in,left,1,
8,XPD_DCDC,bidir,left,1,
9,MTMS,bidir,bottom,1,
10,MTDI,bidir,bottom,1,
11,VDDPST,pwr,bottom,1,
12,MTCK,bidir,bottom,1,
13,MTDO,bidir,bottom,1,
14,GPIO2,bidir,bottom,1,
15,GPIO0,bidir,bottom,1,
16,GPIO4,bidir,bottom,1,
17,VDDPST,pwr,right,1,
18,SDIO_DATA_2,bidir,right,1,
19,SDIO_DATA_3,bidir,right,1,
20,SDIO_CMD,bidir,right,1,
21,SDIO_CLK,bidir,right,1,
22,SDIO_DATA_0,bidir,right,1,
23,SDIO_DATA_1,bidir,right,1,
24,GPIO5,bidir,right,1,
25,U0RXD,bidir,top,1,
26,U0TXD,bidir,top,1,
27,XTAL_OUT,bidir,top,1,
28,XTAL_IN,bidir,top,1,
29,VDDD,pwr,top,1,
30,VDDA,pwr,top,1,
31,RES12K,in,top,1,
32,EXT_RSTB,in,top,1,
33,GND_PAD,pwr,top,1,
,,,,,
ESP8266EX_FULL,U,,,,
Pin,Name,Type,Side,Unit,Style
1,VDDA,pwr,left,1,
2,LNA,passive,left,1,
3,VDD3P3,pwr,left,1,
4,VDD3P3,pwr,left,1,
5,VDD_RTC,nc,left,1,
6,TOUT/ADC,in,left,1,
7,CHIP_PU,in,left,1,
8,GPIO16/XPD_DCDC/WAKE,bidir,left,1,
9,GPIO14/MTMS/HSPI_CLK,bidir,left,1,
10,GPIO12/MTDI/HSPI_MISO,bidir,left,1,
11,VDDPST,pwr,left,1,
12,GPIO13/MTCK/HSPI_MOSI/UART0_CTS,bidir,left,1,
13,GPIO15/MTDO/HSPI_CS/UART0_RTS,bidir,left,1,
14,GPIO2,bidir,left,1,
15,GPIO0/SPI_CS2,bidir,left,1,
16,GPIO4,bidir,left,1,
17,VDDPST,pwr,left,1,
18,GPIO9/SDIO_DATA_2/SPIHD/HSPIHD,bidir,left,1,
19,GPIO10/SDIO_DATA_3/SPIWP/HSPIWP,bidir,left,1,
20,GPIO11/SDIO_CMD/SPI_CS0,bidir,left,1,
21,GPIO6/SDIO_CLK/SPI_CLK,bidir,left,1,
22,GPIO7/SDIO_DATA_0/SPI_MISO,bidir,left,1,
23,GPIO8/SDIO_DATA_1/SPI_MOSI,bidir,left,1,
24,GPIO5,bidir,left,1,
25,GPIO3/U0RXD,bidir,left,1,
26,GPIO1/U0TXD/SPI_CS1,bidir,left,1,
27,XTAL_OUT,bidir,left,1,
28,XTAL_IN,bidir,left,1,
29,VDDD,pwr,left,1,
30,VDDA,pwr,left,1,
31,RES12K,in,left,1,
